Block,Number,reading subset,recall subset,condition,trial type,task,fixa,clue,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,Question1,Question2,Question3
3,16,16,,pure reading ,formal trial,reading,+,xxxxx,During the,heat of,"the day,",mosquitoes,rest in,a cool,place,and,wait,till,evening,to,hunt,for,food.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,12,12,,pure reading ,formal trial,reading,+,xxx,An electron,microscope,produces,"a visible,",clear,image of,small,"organelles,",resulting,in,a more,efficient,way to,detect,pathogens.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,40,40,16,conflict reading,formal trial,reading,+,table,In many,"cases,",stains,are,affected,by heat,and may,become,reactive,enough,to,bond,with the,underlying,material.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,23,23,,pure reading ,catch trial,reading,+,xxxxxxx,During,the 17th,"Century,",pipe,smoking,became a,new trend,among,the Dutch,"youth,",specifically,upper and,middle,class,students.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,19,19,,pure reading ,formal trial,reading,+,xxxxx,Exposure,to,pesticides,may increase,a child's,lifelong,cancer,"risk,",as well as,harm his,or her,nervous,and,immune,systems.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,44,44,20,conflict reading,formal trial,reading,+,kitchen,Stars,are not,spread,uniformly,across,"the universe,",but are,normally,grouped,into,galaxies,along with,interstellar,gas and,dust.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,24,24,,pure reading ,catch trial,reading,+,xxxxx,Rulers,have,long been,made from,different,materials,and in,multiple,"sizes,",plastics,have been,used,since,they were,invented.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,43,43,19,conflict reading,formal trial,reading,+,candy,Talons,are,important,for birds,of prey,like,"hawks,",because,they,need,to use,them,to catch,their,food.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,20,20,,pure reading ,formal trial,reading,+,xxxxxxx,All,mammals,have,some hair,on their,"skin,",even marine,mammals,like,whales and,"dolphins,",which,appear,to be,hairless.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,18,18,,pure reading ,formal trial,reading,+,xxxxx,Frogs,are,distributed,in,tropics and,sub-arctic,"regions,",but the,greatest,concentration,of species,diversity,is,in tropical,rainforests.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,41,41,17,conflict reading,formal trial,reading,+,sunset,One of,the biggest,threats to,elephant,populations,is,illegal,ivory,"trade,",as,they,are,poached,for their,tusks.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,21,21,,pure reading ,formal trial,reading,+,xxxx,Some,insects,damage,crops by,feeding,on,"sap,","leaves,","fruits,","or wood,",and,they may,act as,disease,vectors.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
